mouse_total_distance,click,time,score,cook,serve
181.24120090002515,19,5,0,0,0
73.93371441142902,1,5,0,0,0
15.650281539872886,21,5,0,0,0
27.86198435709923,11,5,0,0,0
18.634413615167958,10,5,0,0,0
10.47213595499958,18,5,0,0,0
33.06029091039876,12,5,0,0,0
22.77032961426901,25,5,0,0,0
61.66586044548394,1,5,0,0,0
26.52432509247439,10,5,0,0,0
84.33663945902435,0,90,0,0,0
131.35428758241207,0,90,0,0,0
120.35569820607986,0,5,0,0,0
148.74591155764628,0,5,0,0,0
173.0952590548305,0,5,0,0,0
66.22896076715165,0,5,0,0,0
1.0,0,5,0,0,0
695.6506286960503,0,5,0,0,0
